,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Atp1a2,6.39337235301485e-308,-5.38219164606969,0.108,0.993,2.12112914555974e-303
Aqp4,1.8424221244916e-302,-4.21917287681882,0.071,0.948,6.11260388242578e-298
Slc1a2,2.61646166053293e-301,-5.25951981326066,0.122,0.993,8.6806348511501e-297
Acsbg1,7.94653048902457e-289,-2.89910073198708,0.042,0.883,2.63642042034368e-284
Agt,1.19087855821404e-285,-3.40159153233626,0.028,0.854,3.95097779258673e-281
Pla2g7,2.00732192414034e-281,-2.97516757405173,0.023,0.836,6.65969194772039e-277
Bcan,8.46123659638837e-270,-2.40385949015656,0.012,0.788,2.80718446558377e-265
Slc6a11,1.82900135823115e-264,-2.98007882183789,0.078,0.878,6.06807780620348e-260
Slc6a1,9.44041394517154e-263,-2.73718337876858,0.039,0.822,3.13204613458956e-258
Ntsr2,1.18387923092997e-258,-2.73491092918724,0.042,0.818,3.92775612445637e-254
Htra1,3.9669063248122e-256,-3.67173801885994,0.097,0.883,1.31610051138294e-251
Aldoc,2.82581728492124e-250,-4.67787196246007,0.27,0.982,9.37521400618321e-246
Hpgd,1.5610478199611e-248,-3.17418004063438,0.009,0.732,5.17908835228494e-244
Gjb6,2.54713175627324e-248,-2.54466214541408,0.009,0.732,8.45061902778772e-244
Gm3764,7.54123081032385e-247,-3.10745531080419,0.052,0.809,2.50195414594115e-242
Id2,8.9622038427642e-246,-4.07947103766951,0.258,0.971,2.97339036891388e-241
Sparcl1,2.24865957072943e-241,-4.48271999906992,0.346,0.991,7.46037785780903e-237
Itih3,2.78510330669931e-239,-2.51870184645407,0.024,0.743,9.2401372406363e-235
Gpm6a,5.04954109319245e-239,-2.14127869389586,0.028,0.75,1.67528624848846e-234
Slc7a10,2.44044293492099e-235,-2.47771364172865,0.019,0.723,8.09665752518738e-231
Gpr37l1,2.61778116251725e-226,-3.63226752007283,0.267,0.944,8.68501256288348e-222
Selenop,2.96891882137092e-225,-2.66305821720994,0.146,0.872,9.8499819736623e-221
Apoe,2.64013113161556e-217,-4.40732322061622,0.656,0.998,8.75916305536095e-213
Tmsb10,1.76987011796168e-216,4.10472769604554,0.998,0.234,5.87189809036148e-212
Vim,3.31572920271379e-216,4.16497282817873,0.999,0.624,1.10005947758436e-211
Rps2,6.48768109499552e-213,2.48822389622616,1,0.903,2.15241795688666e-208
Lsamp,8.60199302134388e-213,-1.9824379416418,0.038,0.709,2.85388322469126e-208
Anxa2,4.86018811302839e-211,3.276720167539,0.995,0.48,1.61246461025943e-206
Rplp1,1.55618093245474e-210,2.24790192980158,0.999,0.946,5.16294147960511e-206
Ptma,4.12822721736557e-210,2.25295571157372,1,0.831,1.36962194390538e-205
Rpl32,4.21182144573676e-210,2.30899441457288,1,0.899,1.39735600105209e-205
Rps8,1.05918757165391e-209,2.04361808692947,1,0.955,3.51406660647616e-205
Rplp0,7.86828583823133e-209,2.3844406259373,1,0.899,2.61046119255001e-204
Lgals3,5.68362502375429e-208,3.56282402889254,0.99,0.153,1.88565627413096e-203
Ndrg2,4.84703938995737e-206,-3.37584594964427,0.442,0.966,1.60810225840616e-201
Rpsa,2.64218779525142e-205,2.07066144018678,0.998,0.892,8.76598644830563e-201
Slc39a12,2.7141622915381e-205,-1.97354351031061,0.036,0.687,9.00477623463596e-201
Rpl13,6.3379383731129e-204,1.91342222652998,1,0.959,2.10273781404767e-199
Cst3,1.24732103262288e-203,-3.50208008025476,0.98,1,4.13823698993293e-199
Cldn10,2.83135795092192e-203,-1.84640049290596,0.01,0.624,9.39359627377364e-199
Rpl27a,3.91141566806948e-203,1.87481188604697,1,0.91,1.29769037619541e-198
Rps24,1.56542108921275e-202,1.87093216335097,0.999,0.883,5.19359754768115e-198
Rps6,4.54797432176475e-202,2.19530149557849,1,0.847,1.50888144073189e-197
Rps10,1.46740648679406e-200,1.92338753121658,0.999,0.856,4.86841450123665e-196
Ttyh1,2.01939538840794e-200,-2.86290000701324,0.323,0.914,6.69974808012101e-196
Rps3,1.29912400362721e-199,2.1200651594129,1,0.818,4.310103706834e-195
Sparc,2.80747058536823e-199,-3.26258278455053,0.648,0.975,9.31434516107618e-195
Rps3a1,1.10441602526518e-198,1.71565942253662,1,0.885,3.66412104702228e-194
Rpl12,1.35869059391325e-198,2.16353647729457,0.998,0.759,4.507727783426e-194
Rpl23,9.35047289097029e-198,1.73651745491991,1,0.923,3.10220639103721e-193
Rps19,1.63395827468101e-197,2.21000730384444,1,0.887,5.42098336790918e-193
Atp1b2,2.04275647283999e-197,-3.00131895418384,0.767,0.984,6.77725314994122e-193
Rps18,1.2795652622673e-196,2.15013943662889,1,0.876,4.24521367062421e-192
